category,name,price,description,gender,product_image
Running Shoes,Jordan Air 1 Low SE Junior,SGD 169.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DX4374-008_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Running Shoes,New Balance 550 Junior,SGD 129.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_GSB550PB_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Running Shoes,Nike Air Max TW Junior,SGD 205.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_599815_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Flip-Flops & Sandals,Nike Kawa Slides Junior,SGD 35.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_819352-001_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Flip-Flops & Sandals,Nike Kawa Slides Junior,SGD 35.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DD8519-001_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Flip-Flops & Sandals,Nike Rift 2 Junior,SGD 115.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FB5523-300_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Hi-Tops,Nike Blazer Mid '77 Junior,SGD 119.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_554967_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Gazelle,SGD 159.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_B41645_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Gazelle,SGD 159.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_BB5478_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Gazelle,SGD 159.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_BB5476_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Dunk Low,SGD 165.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FQ8080-133_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Force 1 '07,SGD 165.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_CT2302-100_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Dunk Low,SGD 205.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FN7808-001_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Force 1 '07,SGD 165.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_CW2288-111_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
